Endpoint,readTimestamp,rssi,tagMac,isMotion
a08d0c0c-f74f-11e9-961f-001d054d25e2,16:33:27,-69,0xa15537,true
b820b292-5ace-11e9-9b03-001d054d25e2,16:33:28,-65,0xa15545,true
2aa79574-5acf-11e9-bc86-001d054d25e2,16:33:27,-63,0x27ffaf,true
2aa79574-5acf-11e9-bc86-001d054d25e2,16:33:27,-59,0xa15537,true
11d84850-5ace-11e9-ac13-001d054d25e2,16:33:26,-64,0xa15537,true
11d84850-5ace-11e9-ac13-001d054d25e2,16:33:26,-63,0xa15545,true
74456644-5ace-11e9-83b9-001d054d25e2,16:33:28,-54,0x27ffaf,true
74456644-5ace-11e9-83b9-001d054d25e2,16:33:28,-48,0xa15545,true
22cd0394-5ace-11e9-b0e9-001d054d25e2,16:33:29,-70,0xa15537,true
1fc6a334-5acf-11e9-94a9-001d054d25e2,16:33:29,-52,0xa15545,true
1fc6a334-5acf-11e9-94a9-001d054d25e2,16:33:29,-67,0x27ffaf,true
1fc6a334-5acf-11e9-94a9-001d054d25e2,16:33:29,-61,0xa15537,true
052fb5f6-5acf-11e9-9fa4-001d054d25e2,16:33:28,-67,0xa15537,true
74456644-5ace-11e9-83b9-001d054d25e2,16:33:28,-54,0x27ffaf,true
74456644-5ace-11e9-83b9-001d054d25e2,16:33:28,-48,0xa15545,true
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-67,0x28006f,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-69,0xa1545e,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-66,0x280027,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-69,0x280023,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-68,0x28001a,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-65,0x26c6db,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-65,0x257696,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-58,0x27ffa5,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-68,0x280024,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-69,0xa10dfb,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-68,0x27ffb0,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-53,0x28006b,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-70,0x286d8a,false
5b5a9762-6519-11e9-a04b-001d054d25e2,16:33:27,-54,0x286d55,false
494e2566-5ace-11e9-a61c-001d054d25e2,16:33:29,-68,0xa15537,true
494e2566-5ace-11e9-a61c-001d054d25e2,16:33:29,-69,0xa15545,true
a93b1988-0646-11ea-a3ac-001d054d25e2,16:33:29,-69,0xa15545,true
5f839492-5ace-11e9-9769-001d054d25e2,16:33:26,-69,0x27ffac,false
5f839492-5ace-11e9-9769-001d054d25e2,16:33:26,-67,0xa15503,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-69,0xa1552c,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-66,0x280079,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-65,0x28001a,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-64,0x27ffa3,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-68,0x27ffac,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-68,0xa1550d,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-63,0x26c6ed,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-66,0x27ffa2,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-66,0x280029,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-67,0x28007b,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-69,0xa15503,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-66,0x27ffa1,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-69,0x27ffb0,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-67,0x28006b,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-67,0x27ffa4,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-60,0x27ffa9,false
3c0c5940-6519-11e9-b937-001d054d25e2,16:33:27,-62,0x286d55,false
